,dists,predIds,skips,coretime,p_cals,predYears
1994,"[85.36235868929334, 86.82599626194035, 90.6511363998805, 91.8017073769142, 91.89091159942332, 92.64586360616427, 92.76146085904105, 92.96852795767975, 93.28962572713998, 93.61273135911864]
","[5, 23, 6, 28, 13, 29, 16, 1, 27, 9]
","0
","3.94537615776062
","0
","[1969, 1987, 1970, 1992, 1977, 1993, 1980, 1965, 1991, 1973]
"
1995,"[83.63283737381981, 84.09228824394721, 86.20020348560598, 87.12597861120459, 87.77710011094756, 88.5608518179845, 89.72977964302527, 90.30840682844862, 91.10942947447674, 91.86967632036867]
","[28, 22, 10, 13, 27, 15, 25, 29, 8, 26]
","0
","3.7434558868408203
","0
","[1993, 1987, 1975, 1978, 1992, 1980, 1990, 1994, 1973, 1991]
"
1996,"[90.5155391955546, 90.90995774660507, 92.40142595898347, 92.46686907589924, 95.88474947466433, 97.12535470969203, 97.14419695888489, 98.4023913689973, 100.05370243372076, 100.39075622137118]
","[27, 21, 7, 25, 3, 13, 14, 19, 1, 20]
","0
","3.923582077026367
","0
","[1993, 1987, 1973, 1991, 1969, 1979, 1980, 1985, 1967, 1986]
"
1997,"[88.06127481056599, 89.05291436217382, 89.23748795426529, 89.2896481195569, 89.41329836172555, 91.3522695006963, 92.35445258679012, 93.42659821851122, 93.84841118025638, 94.1899109782637]
","[15, 8, 25, 27, 28, 20, 13, 0, 7, 1]
","0
","3.7005481719970703
","0
","[1982, 1975, 1992, 1994, 1995, 1987, 1980, 1967, 1974, 1968]
"
1998,"[83.58404387735537, 86.03490286844526, 86.30438637965997, 86.43517189855835, 86.65696959237731, 87.79611298603125, 88.214775759891, 88.77630674368925, 88.93803101307593, 89.33235957342636]
","[1, 2, 17, 13, 24, 26, 23, 0, 25, 29]
","0
","3.821307897567749
","0
","[1969, 1970, 1985, 1981, 1992, 1994, 1991, 1968, 1993, 1997]
"
1999,"[83.896596705106, 84.86091186687973, 85.4490873286738, 85.52995522827324, 86.09150122236058, 87.39388277961557, 87.45768119519217, 87.61347815247807, 89.90169291345369, 90.63631383174591]
","[1, 18, 22, 6, 16, 24, 0, 9, 23, 26]
","0
","3.8306407928466797
","0
","[1970, 1987, 1991, 1975, 1985, 1993, 1969, 1978, 1992, 1995]
"
2000,"[89.407177358257, 90.75841323955046, 92.47886467000204, 94.18617771190088, 94.88568644427926, 96.0988262270467, 97.64200545469026, 97.66551170871125, 97.99616292268523, 98.08787148667314]
","[6, 25, 19, 0, 26, 16, 17, 28, 23, 29]
","0
","3.802510976791382
","0
","[1976, 1995, 1989, 1970, 1996, 1986, 1987, 1998, 1993, 1999]
"
2001,"[78.51806053012557, 78.83569086326644, 82.90899408366163, 83.77268175436473, 85.22131682783704, 87.36928861853411, 89.03565074897651, 89.67205363597785, 89.96041206229273, 91.32318723640796]
","[15, 28, 4, 16, 7, 22, 11, 24, 23, 0]
","0
","3.7948100566864014
","0
","[1986, 1999, 1975, 1987, 1978, 1993, 1982, 1995, 1994, 1971]
"
2002,"[88.36106902237873, 93.31200177015845, 93.71023035394782, 95.25782544815999, 95.66488907278523, 95.96670426540517, 97.41893458589418, 97.68914746568323, 97.80253919553098, 97.87810846287312]
","[26, 16, 23, 21, 25, 3, 29, 9, 19, 1]
","0
","4.310313940048218
","0
","[1998, 1988, 1995, 1993, 1997, 1975, 2001, 1981, 1991, 1973]
"
2003,"[85.0919110404734, 85.45744338727671, 87.68329879588549, 88.41678501543822, 88.42988177029288, 88.94132532924681, 89.01867700880898, 89.48973837767629, 90.82675319122816, 91.863485757515]
","[15, 25, 24, 22, 12, 8, 19, 26, 18, 11]
","0
","5.371536016464233
","0
","[1988, 1998, 1997, 1995, 1985, 1981, 1992, 1999, 1991, 1984]
"
2004,"[81.82671449036306, 86.73186973388741, 87.16083673247864, 88.22907074498747, 89.62028262942144, 90.33697728806229, 90.80778063569595, 90.8647769132397, 92.15859129879907, 93.02013770214636]
","[29, 11, 19, 24, 10, 9, 17, 18, 27, 4]
","0
","4.405257940292358
","0
","[2003, 1985, 1993, 1998, 1984, 1983, 1991, 1992, 2001, 1978]
"
2005,"[83.2938382874421, 83.75043502385205, 84.61773158749605, 86.18701058871399, 86.4613472784357, 87.70124322036787, 88.64363208788683, 89.16847971869778, 89.6811106610602, 89.99676275705758]
","[20, 28, 0, 23, 10, 12, 15, 22, 18, 29]
","0
","3.8549981117248535
","0
","[1995, 2003, 1975, 1998, 1985, 1987, 1990, 1997, 1993, 2004]
"
2006,"[85.63116570381722, 88.05394758450976, 89.91580748511183, 91.64901056208532, 91.84513182760895, 95.30828823746492, 95.6693858095515, 96.21506095937754, 96.2538696825558, 97.28516309758369]
","[3, 23, 19, 11, 25, 4, 17, 18, 20, 26]
","0
","3.7616379261016846
","0
","[1979, 1999, 1995, 1987, 2001, 1980, 1993, 1994, 1996, 2002]
"
2007,"[82.02946354679177, 88.55655361719838, 93.40524113187132, 93.52193228866163, 93.81626728926454, 94.26680480104034, 94.5946498567122, 94.85314076699316, 94.8555970658774, 94.90351762684902]
","[18, 26, 10, 16, 9, 28, 22, 13, 17, 3]
","0
","3.514333963394165
","0
","[1995, 2003, 1987, 1993, 1986, 2005, 1999, 1990, 1994, 1980]
"
2008,"[83.29837423041862, 86.9976225789807, 88.71102112890932, 88.95008452525096, 90.60714888030408, 90.94239181260447, 92.21247406056486, 92.4824236157048, 92.57418437332224, 93.66378680146518]
","[8, 22, 10, 23, 27, 11, 25, 21, 7, 6]
","0
","3.481858015060425
","0
","[1986, 2000, 1988, 2001, 2005, 1989, 2003, 1999, 1985, 1984]
"
2009,"[82.16121099331052, 83.3485856357034, 83.66347781967413, 85.53746834429424, 89.86356498569106, 90.50069194550417, 91.47331957909174, 93.69630807469082, 93.7216896330026, 94.31285725047701]
","[8, 26, 16, 18, 22, 3, 20, 21, 14, 24]
","0
","3.555945873260498
","0
","[1987, 2005, 1995, 1997, 2001, 1982, 1999, 2000, 1993, 2003]
"
2010,"[85.85416310263253, 88.57539103905071, 88.78200595111343, 90.38485056191911, 91.14517581607343, 91.28000428986653, 91.84119813374674, 91.87086329709959, 92.7661167553516, 95.81502307307846]
","[24, 1, 5, 18, 3, 23, 25, 4, 21, 13]
","0
","3.6793100833892822
","0
","[2004, 1981, 1985, 1998, 1983, 2003, 2005, 1984, 2001, 1993]
"
2011,"[84.93651516818566, 88.16087644873222, 90.1936521653644, 91.39085279022996, 93.08123260999355, 93.22107051497292, 94.15609061425272, 94.61202825875884, 94.75105494881794, 94.83224077779073]
","[18, 13, 6, 17, 20, 10, 12, 25, 5, 0]
","0
","4.068508148193359
","0
","[1999, 1994, 1987, 1998, 2001, 1991, 1993, 2006, 1986, 1981]
"
2012,"[83.24123485748969, 86.4937784147575, 86.93124111821014, 89.11718037451261, 89.40701883879461, 89.78192491391708, 90.81969483738904, 93.17243395296367, 94.22298370974039, 95.43046328273607]
","[21, 23, 27, 13, 18, 15, 11, 26, 25, 20]
","0
","4.049210071563721
","0
","[2003, 2005, 2009, 1995, 2000, 1997, 1993, 2008, 2007, 2002]
"
2013,"[82.076957265627, 86.4489822135289, 87.90862796446258, 87.95671340470808, 88.41889466800585, 88.87240009583994, 89.9903494114937, 90.47492679750736, 91.27229407307163, 91.45188867676397]
","[4, 15, 16, 10, 18, 23, 21, 22, 26, 14]
","0
","4.128313064575195
","0
","[1987, 1998, 1999, 1993, 2001, 2006, 2004, 2005, 2009, 1997]
"
2014,"[86.70705649597103, 89.9446364779642, 90.73703847814319, 91.39937062165869, 91.66541255919526, 91.96930281966623, 92.30183592077407, 93.64086414093755, 93.89819314282732, 94.26383591484085]
","[10, 3, 18, 9, 17, 23, 7, 25, 6, 14]
","0
","3.9771499633789062
","0
","[1994, 1987, 2002, 1993, 2001, 2007, 1991, 2009, 1990, 1998]
"
2015,"[89.12101488118996, 91.6816784845548, 92.46916755381416, 92.71160551007398, 93.19140842991823, 93.5942404441371, 94.8767109196427, 94.9203014211782, 95.28588865637731, 95.61191471637996]
","[24, 29, 28, 16, 4, 2, 12, 10, 14, 18]
","0
","4.551092147827148
","0
","[2009, 2014, 2013, 2001, 1989, 1987, 1997, 1995, 1999, 2003]
"
2016,"[90.53775912010035, 91.45721197070174, 91.47066638443557, 91.95327995904697, 94.08693318888378, 94.59085535419734, 95.35314072426274, 95.53680636982327, 95.70882800533296, 95.8338278032442]
","[19, 4, 9, 12, 7, 18, 5, 17, 10, 11]
","0
","4.409452199935913
","0
","[2005, 1990, 1995, 1998, 1993, 2004, 1991, 2003, 1996, 1997]
"
2017,"[83.49341093616198, 84.90546970218864, 89.84035524318737, 91.44504624384501, 91.8634597890761, 91.92610462869676, 92.24499205393676, 94.0045547404287, 94.1069792612331, 94.8767480134794]
","[17, 16, 6, 23, 18, 10, 12, 14, 29, 4]
","0
","4.89546799659729
","0
","[2004, 2003, 1993, 2010, 2005, 1997, 1999, 2001, 2016, 1991]
"
2018,"[85.79446102131108, 85.9026892062072, 87.03795323981038, 88.37111701925407, 89.31804295599719, 90.40043953108092, 90.64275912887175, 91.90470832113098, 91.92773607510925, 93.17102547548654]
","[11, 18, 13, 25, 7, 15, 21, 3, 14, 20]
","0
","4.6031670570373535
","0
","[1999, 2006, 2001, 2013, 1995, 2003, 2009, 1991, 2002, 2008]
"
2019,"[93.84044884825306, 94.3276759541469, 94.46402693007363, 95.25221855160981, 100.09551372924167, 100.76749974929123, 101.41926060509614, 101.54851445189607, 101.69715077431177, 102.10214914715793]
","[16, 23, 1, 27, 2, 15, 11, 14, 25, 3]
","0
","3.7068569660186768
","0
","[2005, 2012, 1990, 2016, 1991, 2004, 2000, 2003, 2014, 1992]
"
2020,"[85.77918608311654, 90.86317282499733, 91.29163620649467, 91.83285604708567, 91.85987853506823, 92.29302385415585, 93.0487504286147, 93.53742803193536, 93.61571531307979, 94.34025002259169]
","[15, 26, 0, 23, 5, 3, 19, 25, 8, 13]
","0
","3.5458037853240967
","0
","[2005, 2016, 1990, 2013, 1995, 1993, 2009, 2015, 1998, 2003]
"
